"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
94425,Audio,"Melospiza melodia","Song Sparrow",,"Wil Hershberger",6/27/1998,1998,6,27,555,"United States",US-PA-071,Pennsylvania,Lancaster,"Middle Creek WMA",40.1644,-76.3994,150,"Adult Male – 1","Courtship, Display, or Copulation; Song","Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Song sparrow would bob head up and down while producing the flute-like notes.  Kind of a pumping action of the head.  Maybe used to change the shape of the trachea.BNA: The Song is heard.  CZ  25/06/2004. Other Behaviors: Advertise, Perform Visual Display. Habitat: Park/Campus/Cemetery, Rural, Hedgerow.",,,,,"Melospiza melodia",sonspa,Species,32018.0,,,5.0,9,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94425",,"https://ebird.org/species/sonspa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",sonspa
94339,Audio,"Seiurus aurocapilla",Ovenbird,,"Wil Hershberger",5/17/1998,1998,5,17,950,"United States",US-MD-021,Maryland,Frederick,"14.0 km E of Adamstown; Mt. Ephriam Road",39.25,-77.4,160,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Other Behaviors: Advertise. Habitat: Forest, Deciduous Forest, Creek.",,,,,"Seiurus aurocapilla",ovenbi1,Species,32667.0,,,5.0,9,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94339",,"https://ebird.org/species/ovenbi1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",ovenbi1
94215,Audio,"Agelaius phoeniceus [phoeniceus Group]","Red-winged Blackbird (Red-winged)",,"Wil Hershberger",2/27/1998,1998,2,27,1642,"United States",US-MD-021,Maryland,Frederick,"Audrey Carroll Audubon Sanctuary",39.4179,-77.207,180,"Adult Male – 1",Call,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Other Behaviors: Advertise, Scold. Habitat: Forest, Deciduous Forest, Rural, Field, Hedgerow.",,,,,"Agelaius phoeniceus",rewbla1,Group,32502.0,,,5.0,9,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94215",,"https://ebird.org/species/rewbla",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",rewbla
94402,Audio,"Empidonax traillii","Willow Flycatcher",,"Wil Hershberger",6/19/1998,1998,6,19,530,"United States",US-MD-021,Maryland,Frederick,"Audrey Carroll Audubon Sanctuary",39.4179,-77.207,180,"Adult Male – 1","Dawn Song; Song","Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Other Behaviors: Advertise. Habitat: Rural, Field.",,,,,"Empidonax traillii",wilfly,Species,16179.0,,,4.8,10,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94402",,"https://ebird.org/species/wilfly",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wilfly
94419,Audio,"Catharus fuscescens",Veery,"Catharus fuscescens -- Veery","Wil Hershberger",6/21/1998,1998,6,21,2100,"United States",US-MD-021,Maryland,Frederick,"7.0 km S of Wolfsville; Spruce Run Rd.",39.5805,-77.5286,250,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Other Behaviors: Advertise. Habitat: Forest, Coniferous Forest, Deciduous Forest.",,,,,"Catharus fuscescens",veery,Species,27215.0,,,4.888888888888889,9,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94419",,"https://ebird.org/species/veery",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",veery
94361,Audio,"Junco hyemalis hyemalis/carolinensis","Dark-eyed Junco (Slate-colored)",,"Wil Hershberger",5/24/1998,1998,5,24,740,"United States",US-NY,"New York",,"Wakely Mountain",43.7358,-74.5154,1124,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,6.0,,"NOTES: BNA: Long-Range Song is heard.  CZ  10/06/2004. Other Behaviors: Advertise. Habitat: Forest, Coniferous Forest, Deciduous Forest.",,,,,"Junco hyemalis",slcjun,Group,31869.0,,,4.8,10,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94361",,"https://ebird.org/species/daejun",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",daejun
94418,Audio,"Piranga olivacea","Scarlet Tanager",,"Wil Hershberger",6/21/1998,1998,6,21,2049,"United States",US-MD-021,Maryland,Frederick,"7.0 km S of Wolfsville; Spruce Run Rd.",39.5805,-77.5286,250,"Adult Male – 1",Song,Used,,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Filtered at 250 Hz.  BNA: The Primary Song is heard.  CZ  09/07/2004. Response to playback: Approach. Other Behaviors: Advertise. Habitat: Forest, Coniferous Forest, Deciduous Forest.",,,,,"Piranga olivacea",scatan,Species,33116.0,,,5.0,8,committed,"archive; playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94418",,"https://ebird.org/species/scatan",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",scatan
94381,Audio,"Piranga olivacea","Scarlet Tanager",,"Wil Hershberger",5/30/1998,1998,5,30,900,"United States",US-MD-021,Maryland,Frederick,"12.0 km SE of Adamstown; Sugarloaf Mountain",39.25,-77.4,240,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Add announcement at A-time 1417 - 1507.
Pumps tail downward with the delievery of each note as if to push them out.
Filtered at 250 Hz. BNA: The Primary Song is heard.  CZ  09/07/2004. Other Behaviors: Advertise. Habitat: Forest, Evergreen Forest, Deciduous Forest.",,,,,"Piranga olivacea",scatan,Species,33116.0,,,5.0,8,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94381",,"https://ebird.org/species/scatan",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",scatan
94262,Audio,"Molothrus ater","Brown-headed Cowbird",,"Wil Hershberger",3/31/1998,1998,3,31,552,"United States",US-MD-021,Maryland,Frederick,"Audrey Carroll Audubon Sanctuary",39.4179,-77.207,180,"Adult Female – 1; Adult Male – 1","Courtship, Display, or Copulation; Song","Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Other Behaviors: Advertise, Court. Habitat: Forest, Grassland, Deciduous Forest, Pond, Rural, Field, Hedgerow, Edge.",,,,,"Molothrus ater",bnhcow,Species,32557.0,,,5.0,8,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94262",,"https://ebird.org/species/bnhcow",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",bnhcow
93792,Audio,"Cardellina canadensis","Canada Warbler","Geothlypis trichas -- Common Yellowthroat; Troglodytes hiemalis -- Winter Wren; Empidonax flaviventris -- Yellow-bellied Flycatcher","Matthew D. Medler",5/30/1998,1998,5,30,1141,"United States",US-NY-033,"New York",Franklin,"Spring Pond Bog Preserve; Esker Interpretive Trail",44.3734,-74.5017,,"Adult Male – 1",Song,"Not Used",,,,"HHB PORTADAT PDR 1000","Sennheiser MKH 20","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Habitat: Forest, Coniferous Forest, Deciduous Forest, Mixed Coniferous/Deciduous.",,,,,"Cardellina canadensis",canwar,Species,33028.0,,,5.0,8,committed,"archive; no_playback","https://ebird.org/profile/MTcxMzg",,,"https://macaulaylibrary.org/asset/93792",,"https://ebird.org/species/canwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",canwar
94479,Audio,"Spizella pusilla","Field Sparrow",,"Wil Hershberger",7/25/1998,1998,7,25,525,"United States",US-WV-037,"West Virginia",Jefferson,"2.0 km W of Bardane; USDA Lab",39.3628,-77.8656,150,"Adult Male – 1","Dawn Song; Song","Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Probably same male Field Sparrow as in LNS cat # ????
Filtered at 250 Hz.BNA: This sounds like the Simple Song to me.  CZ  21/06/2004. Other Behaviors: Advertise. Habitat: Rural, Orchard.",,,,,"Spizella pusilla",fiespa,Species,31746.0,,,5.0,7,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94479",,"https://ebird.org/species/fiespa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",fiespa
94444,Audio,"Icterus spurius","Orchard Oriole",,"Wil Hershberger",7/4/1998,1998,7,4,630,"United States",US-MD-021,Maryland,Frederick,"5.0 km E of Adamstown; Lily Pons Road At Route 85",39.3,-77.4333,150,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Conatins a sample of ""long song"" or ""run-on song"" at A-time 3917.
Filtered at 250 Hz. Other Behaviors: Advertise. Habitat: Rural, Yard, Hedgerow.",,,,,"Icterus spurius",orcori,Species,32405.0,,,5.0,7,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94444",,"https://ebird.org/species/orcori",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",orcori
94420,Audio,"Catharus fuscescens",Veery,,"Wil Hershberger",6/21/1998,1998,6,21,2100,"United States",US-MD-021,Maryland,Frederick,"7.0 km S of Wolfsville; Spruce Run Rd.",39.5805,-77.5286,250,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Filtered at 250 Hz. Other Behaviors: Advertise. Habitat: Forest, Coniferous Forest, Deciduous Forest.",,,,,"Catharus fuscescens",veery,Species,27215.0,,,5.0,7,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94420",,"https://ebird.org/species/veery",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",veery
94358,Audio,"Setophaga striata","Blackpoll Warbler",,"Wil Hershberger",5/24/1998,1998,5,24,703,"United States",US-NY,"New York",,"Wakely Mountain",43.7333,-74.5156,1124,"Adult Male – 1","Call; Song",Used,,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Response to human imitation of Northern saw-whet owl and spishing. Other Behaviors: Advertise. Habitat: Forest, Coniferous Forest, Deciduous Forest.",,,,,"Setophaga striata",bkpwar,Species,32841.0,,,5.0,7,committed,"archive; playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94358",,"https://ebird.org/species/bkpwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",bkpwar
94345,Audio,"Geothlypis trichas","Common Yellowthroat",,"Wil Hershberger",5/22/1998,1998,5,22,624,"United States",US-NY-041,"New York",Hamilton,"Ferd's Bog",43.7669,-74.8172,200,"Adult Male – 1","Dawn Song; Song","Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Other Behaviors: Advertise. Habitat: Forest, Wetland, Evergreen Forest, Deciduous Forest, Bog, Creek.",,,,,"Geothlypis trichas",comyel,Species,32744.0,,,5.0,7,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94345",,"https://ebird.org/species/comyel",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",comyel
94305,Audio,"Geothlypis trichas","Common Yellowthroat",,"Wil Hershberger",5/3/1998,1998,5,3,800,"United States",US-MD-021,Maryland,Frederick,"Audrey Carroll Audubon Sanctuary",39.4179,-77.207,180,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Other Behaviors: Advertise. Habitat: Forest, Deciduous Forest, Field, Hedgerow, Edge.",,,,,"Geothlypis trichas",comyel,Species,32744.0,,,5.0,7,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94305",,"https://ebird.org/species/comyel",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",comyel
94303,Audio,"Icterus spurius","Orchard Oriole",,"Wil Hershberger",5/3/1998,1998,5,3,700,"United States",US-MD-021,Maryland,Frederick,"Audrey Carroll Audubon Sanctuary",39.4179,-77.207,180,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Other Behaviors: Advertise. Habitat: Forest, Deciduous Forest, Field, Hedgerow, Edge.",,,,,"Icterus spurius",orcori,Species,32405.0,,,5.0,7,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94303",,"https://ebird.org/species/orcori",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",orcori
94291,Audio,"Icterus spurius","Orchard Oriole",,"Wil Hershberger",4/28/1998,1998,4,28,1810,"United States",US-MD-021,Maryland,Frederick,"Audrey Carroll Audubon Sanctuary",39.4179,-77.207,180,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Bird behaving as if excited/nervous. Other Behaviors: Advertise. Habitat: Forest, Deciduous Forest, Field, Hedgerow, Edge.",,,,,"Icterus spurius",orcori,Species,32405.0,,,5.0,7,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94291",,"https://ebird.org/species/orcori",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",orcori
